[TD-Ludo Config] Mode: PROD
[TD-Ludo Config] Run: ac_v6_big | Dir: /Users/sumit/Github/AlphaLudo/td_ludo/checkpoints/ac_v6_big
[TD-Ludo Config] LR: 1e-05 | Entropy: 0.005 | Temp: 1.1→0.95
[TD-Ludo Config] Ghosts: every 2000 games | Batch: 512
[Train] Device: mps
[Train] Mode: PROD
[Train] Architecture: AlphaLudoV6-Big (128ch, 10res, 2,990,917 params)
[Trainer] Loaded full checkpoint: 323186 games, 332445 updates
[Train] Resumed from checkpoint (323186 games, 332445 updates)
[Elo] Loaded 223 ratings
[Train] Elo Tracker initialized (Main: 1500)
[Train] Game DB initialized (430134 games recorded)
[Dashboard] Server started at http://localhost:8787

============================================================
  TD-Ludo Actor-Critic Training — PROD Mode
  Algorithm: PPO (Proximal Policy Optimization)
  Checkpoints: /Users/sumit/Github/AlphaLudo/td_ludo/checkpoints/ac_v6_big
  Eval: every 2000 games (500 games each)
  Ghost saves: every 2000 games
  Elo tracking: ON | Game DB: ON
  Batch Size: 512
  Ctrl+C to save and exit gracefully
============================================================

[G 325190] WR:  63.0% | Ent: 0.495 | τ: 0.95 | Elo: 1786 | GPM: 78 | loss
[G 325210] WR:  62.8% | Ent: 0.495 | τ: 0.95 | Elo: 1779 | GPM: 79 | WIN
[G 325260] WR:  62.4% | Ent: 0.495 | τ: 0.95 | Elo: 1811 | GPM: 78 | WIN
[G 325260] WR:  62.2% | Ent: 0.495 | τ: 0.95 | Elo: 1806 | GPM: 78 | loss
[G 325260] WR:  62.4% | Ent: 0.495 | τ: 0.95 | Elo: 1810 | GPM: 78 | WIN
[G 325260] WR:  62.4% | Ent: 0.495 | τ: 0.95 | Elo: 1812 | GPM: 78 | WIN
[G 325260] WR:  62.4% | Ent: 0.495 | τ: 0.95 | Elo: 1817 | GPM: 78 | WIN
[G 325310] WR:  64.6% | Ent: 0.497 | τ: 0.95 | Elo: 1830 | GPM: 78 | WIN
[G 325310] WR:  64.4% | Ent: 0.497 | τ: 0.95 | Elo: 1824 | GPM: 78 | loss
[G 325310] WR:  64.4% | Ent: 0.497 | τ: 0.95 | Elo: 1830 | GPM: 78 | WIN
[G 325310] WR:  64.4% | Ent: 0.497 | τ: 0.95 | Elo: 1831 | GPM: 78 | WIN
[G 325340] WR:  64.0% | Ent: 0.497 | τ: 0.95 | Elo: 1839 | GPM: 78 | WIN
[G 325380] WR:  64.2% | Ent: 0.498 | τ: 0.95 | Elo: 1826 | GPM: 78 | loss
[G 325400] WR:  65.0% | Ent: 0.498 | τ: 0.95 | Elo: 1839 | GPM: 79 | WIN
[G 325410] WR:  65.0% | Ent: 0.498 | τ: 0.95 | Elo: 1829 | GPM: 79 | WIN
[G 325410] WR:  65.0% | Ent: 0.498 | τ: 0.95 | Elo: 1824 | GPM: 79 | loss
[G 325410] WR:  64.8% | Ent: 0.498 | τ: 0.95 | Elo: 1819 | GPM: 79 | loss
[G 325410] WR:  64.8% | Ent: 0.498 | τ: 0.95 | Elo: 1824 | GPM: 79 | WIN
[G 325450] WR:  63.4% | Ent: 0.498 | τ: 0.95 | Elo: 1794 | GPM: 78 | WIN
[G 325470] WR:  63.8% | Ent: 0.498 | τ: 0.95 | Elo: 1806 | GPM: 79 | loss
[G 325470] WR:  63.8% | Ent: 0.498 | τ: 0.95 | Elo: 1812 | GPM: 79 | WIN
[G 325470] WR:  63.8% | Ent: 0.498 | τ: 0.95 | Elo: 1817 | GPM: 79 | WIN
[G 325470] WR:  64.0% | Ent: 0.498 | τ: 0.95 | Elo: 1819 | GPM: 79 | WIN
[G 325520] WR:  64.4% | Ent: 0.499 | τ: 0.95 | Elo: 1837 | GPM: 79 | WIN
[G 325520] WR:  64.4% | Ent: 0.499 | τ: 0.95 | Elo: 1838 | GPM: 79 | WIN
[G 325520] WR:  64.4% | Ent: 0.499 | τ: 0.95 | Elo: 1843 | GPM: 79 | WIN
[G 325520] WR:  64.2% | Ent: 0.499 | τ: 0.95 | Elo: 1837 | GPM: 79 | loss
[G 325560] WR:  63.8% | Ent: 0.498 | τ: 0.95 | Elo: 1817 | GPM: 78 | loss
[G 325560] WR:  64.0% | Ent: 0.498 | τ: 0.95 | Elo: 1822 | GPM: 78 | WIN
[G 325560] WR:  64.0% | Ent: 0.498 | τ: 0.95 | Elo: 1827 | GPM: 78 | WIN
[G 325560] WR:  64.2% | Ent: 0.498 | τ: 0.95 | Elo: 1832 | GPM: 78 | WIN
[G 325560] WR:  64.0% | Ent: 0.498 | τ: 0.95 | Elo: 1823 | GPM: 78 | loss
[G 325570] WR:  63.0% | Ent: 0.498 | τ: 0.95 | Elo: 1799 | GPM: 79 | WIN
[G 325580] WR:  62.6% | Ent: 0.498 | τ: 0.95 | Elo: 1807 | GPM: 79 | WIN
[G 325580] WR:  62.4% | Ent: 0.498 | τ: 0.95 | Elo: 1801 | GPM: 79 | loss
[G 325580] WR:  62.4% | Ent: 0.498 | τ: 0.95 | Elo: 1806 | GPM: 79 | WIN
[G 325580] WR:  62.2% | Ent: 0.498 | τ: 0.95 | Elo: 1801 | GPM: 79 | loss
[G 325610] WR:  62.8% | Ent: 0.498 | τ: 0.95 | Elo: 1836 | GPM: 80 | loss
